t,capcost,fom,vom,cf_improvement
2010,7426.986616,37.134933,0.0,0.940179
2011,6897.902007,36.50336,0.0,0.940179
2012,6368.817394,35.871788,0.0,0.940179
2013,4420.19998,35.240215,0.0,0.940179
2014,3326.164709,34.608642,0.0,0.940179
2015,3320.926004,33.977069,0.0,0.940179
2016,2891.779787,33.345497,0.0,0.940179
2017,1769.369375,32.082351,0.0,0.940179
2018,1695.926898,29.677885,0.0,0.940179
2019,1622.48442,27.273418,0.0,0.940179
2020,1533.493468,26.630322,0.0,0.940179
2021,1400.64498,25.328802,0.0,0.940179
2022,1422.628729,24.739993,0.0,0.940179
2023,1493.854586,23.133429,0.0,0.931828
2024,1300.561748,24.659673,0.0,0.937509
2025,1254.135997,23.966138,0.0,0.94319
2026,1207.710246,23.289902,0.0,0.948871
2027,1161.284495,22.629593,0.0,0.954552
2028,1114.858743,21.983979,0.0,0.960233
2029,1068.432992,21.351954,0.0,0.965914
2030,1022.007241,20.732519,0.0,0.971595
2031,1004.793098,20.513594,0.0,0.977276
2032,987.578955,20.295382,0.0,0.982957
2033,970.364813,20.077869,0.0,0.988638
2034,953.15067,19.861044,0.0,0.994319
2035,935.936528,19.644894,0.0,1.0
2036,918.722385,19.429408,0.0,1.00392
2037,901.508242,19.214573,0.0,1.007839
2038,884.2941,19.000378,0.0,1.011759
2039,867.079957,18.786812,0.0,1.015678
2040,849.865814,18.573865,0.0,1.019598
2041,839.429734,18.441845,0.0,1.023517
2042,828.993653,18.310485,0.0,1.027437
2043,818.557572,18.179772,0.0,1.031356
2044,808.121492,18.049695,0.0,1.035276
2045,797.685411,17.920242,0.0,1.039196
2046,787.249331,17.791403,0.0,1.043115
2047,776.81325,17.663167,0.0,1.047035
2048,766.377169,17.535523,0.0,1.050954
2049,755.941089,17.408462,0.0,1.054874
2050,745.505008,17.281973,0.0,1.058793
2051,742.038861,17.230266,0.0,1.058793
2052,738.572715,17.178717,0.0,1.058793
2053,735.106568,17.127324,0.0,1.058793
2054,731.640421,17.076087,0.0,1.058793
2055,728.174275,17.025003,0.0,1.058793
2056,724.708128,16.974072,0.0,1.058793
2057,721.241981,16.923291,0.0,1.058793
2058,717.775835,16.87266,0.0,1.058793
2059,714.309688,16.822178,0.0,1.058793
2060,710.843542,16.771842,0.0,1.058793
