i,t,capcost,fom,vom,heatrate
biopower,2010,4472.447715,174.623907,5.587949,13.3
biopower,2011,4472.447715,174.623907,5.587949,13.3
biopower,2012,4472.447715,174.623907,5.587949,13.3
biopower,2013,4472.447715,174.623907,5.587949,13.3
biopower,2014,2502.744422,174.623907,5.587949,13.3
biopower,2015,1926.458903,174.623907,5.587949,13.3
biopower,2016,2730.252418,174.623907,5.587949,13.3
biopower,2017,5007.543564,174.623907,5.587949,13.3
biopower,2018,4198.375879,174.623907,5.587949,13.3
biopower,2019,3389.208193,174.623907,5.587949,13.3
biopower,2020,3328.261566,174.623907,5.587949,13.3
biopower,2021,2855.021866,174.623907,5.587949,13.3
biopower,2022,3893.551831,174.623907,5.587949,13.3
biopower,2023,4932.081796,174.623907,5.587949,13.3
biopower,2024,4874.318777,174.623907,5.587949,13.3
biopower,2025,4816.555758,174.623907,5.587949,13.3
biopower,2026,4758.79274,174.623907,5.587949,13.3
biopower,2027,4746.551037,174.623907,5.587949,13.3
biopower,2028,4703.789375,174.623907,5.587949,13.3
biopower,2029,4670.418937,174.623907,5.587949,13.3
biopower,2030,4638.23063,174.623907,5.587949,13.3
biopower,2031,4622.098155,174.623907,5.587949,13.3
biopower,2032,4607.934321,174.623907,5.587949,13.3
biopower,2033,4595.124508,174.623907,5.587949,13.3
biopower,2034,4584.405958,174.623907,5.587949,13.3
biopower,2035,4560.889516,174.623907,5.587949,13.3
biopower,2036,4533.783245,174.623907,5.587949,13.3
biopower,2037,4513.921825,174.623907,5.587949,13.3
biopower,2038,4497.775206,174.623907,5.587949,13.3
biopower,2039,4478.29683,174.623907,5.587949,13.3
biopower,2040,4460.311985,174.623907,5.587949,13.3
biopower,2041,4442.396734,174.623907,5.587949,13.3
biopower,2042,4427.13326,174.623907,5.587949,13.3
biopower,2043,4411.359863,174.623907,5.587949,13.3
biopower,2044,4392.101718,174.623907,5.587949,13.3
biopower,2045,4376.253466,174.623907,5.587949,13.3
biopower,2046,4355.262162,174.623907,5.587949,13.3
biopower,2047,4332.443916,174.623907,5.587949,13.3
biopower,2048,4313.910162,174.623907,5.587949,13.3
biopower,2049,4297.264709,174.623907,5.587949,13.3
biopower,2050,4267.244416,174.623907,5.587949,13.3
biopower,2051,4237.224124,174.623907,5.587949,13.3
biopower,2052,4207.203831,174.623907,5.587949,13.3
biopower,2053,4177.183539,174.623907,5.587949,13.3
biopower,2054,4147.163246,174.623907,5.587949,13.3
biopower,2055,4117.142953,174.623907,5.587949,13.3
biopower,2056,4087.122661,174.623907,5.587949,13.3
biopower,2057,4057.102368,174.623907,5.587949,13.3
biopower,2058,4027.082076,174.623907,5.587949,13.3
biopower,2059,3997.061783,174.623907,5.587949,13.3
biopower,2060,3967.041491,174.623907,5.587949,13.3
