i,t,capcost,fom,vom,heatrate
Coal-IGCC,2010,6091.56458,170.282586,17.111672,9.325
Coal-IGCC,2011,6041.516514,170.282586,17.111672,9.239333
Coal-IGCC,2012,5991.468449,170.282586,17.111672,9.153667
Coal-IGCC,2013,5941.420383,170.282586,17.111672,9.068
Coal-IGCC,2014,5891.372316,170.282586,17.111672,8.982333
Coal-IGCC,2015,5841.324252,170.282586,17.111672,8.896667
Coal-IGCC,2016,5791.276186,170.282586,17.111672,8.811
Coal-IGCC,2017,5741.228119,170.282586,17.111672,8.725333
Coal-IGCC,2018,5691.180054,170.282586,17.111672,8.639667
Coal-IGCC,2019,5641.131987,170.282586,17.111672,8.554
Coal-IGCC,2020,5236.913143,165.429484,16.903141,8.45
Coal-IGCC,2021,5624.098268,168.754428,16.605616,8.308
Coal-IGCC,2022,5832.931196,174.3675,17.11404,8.308
Coal-IGCC,2023,5557.0,167.0,16.59,8.308
Coal-IGCC,2024,5546.0,167.0,16.57,8.308
Coal-IGCC,2025,5535.0,166.0,16.55,8.308
Coal-IGCC,2026,5525.0,166.0,16.52,8.308
Coal-IGCC,2027,5514.0,166.0,16.5,8.308
Coal-IGCC,2028,5503.0,165.0,16.47,8.308
Coal-IGCC,2029,5493.0,165.0,16.45,8.308
Coal-IGCC,2030,5482.0,165.0,16.42,8.308
Coal-IGCC,2031,5471.0,165.0,16.4,8.308
Coal-IGCC,2032,5461.0,164.0,16.37,8.308
Coal-IGCC,2033,5450.0,164.0,16.35,8.308
Coal-IGCC,2034,5439.0,164.0,16.33,8.308
Coal-IGCC,2035,5429.0,163.0,16.3,8.308
Coal-IGCC,2036,5417.0,163.0,16.27,8.308
Coal-IGCC,2037,5405.0,163.0,16.25,8.308
Coal-IGCC,2038,5394.0,162.0,16.22,8.308
Coal-IGCC,2039,5382.0,162.0,16.19,8.308
Coal-IGCC,2040,5370.0,162.0,16.17,8.308
Coal-IGCC,2041,5359.0,161.0,16.14,8.308
Coal-IGCC,2042,5347.0,161.0,16.11,8.308
Coal-IGCC,2043,5335.0,161.0,16.09,8.308
Coal-IGCC,2044,5324.0,160.0,16.06,8.308
Coal-IGCC,2045,5312.0,160.0,16.03,8.308
Coal-IGCC,2046,5300.0,160.0,16.01,8.308
Coal-IGCC,2047,5289.0,160.0,15.98,8.308
Coal-IGCC,2048,5277.0,159.0,15.95,8.308
Coal-IGCC,2049,5265.0,159.0,15.93,8.308
Coal-IGCC,2050,5254.0,159.0,15.9,8.308
Coal-IGCC,2051,5247.0,158.0,15.88,8.31
Coal-IGCC,2052,5239.0,158.0,15.87,8.31
Coal-IGCC,2053,5232.0,158.0,15.85,8.31
Coal-IGCC,2054,5225.0,158.0,15.83,8.31
Coal-IGCC,2055,5218.0,158.0,15.82,8.31
Coal-IGCC,2056,5211.0,157.0,15.8,8.31
Coal-IGCC,2057,5203.0,157.0,15.78,8.31
Coal-IGCC,2058,5196.0,157.0,15.76,8.31
Coal-IGCC,2059,5189.0,157.0,15.75,8.31
Coal-IGCC,2060,5182.0,157.0,15.73,8.31
Coal-new,2010,3192.351626,85.55836,9.366138,8.83
Coal-new,2011,3182.818661,85.55836,9.366138,8.790333
Coal-new,2012,3173.285695,85.55836,9.366138,8.750667
Coal-new,2013,3163.75273,85.55836,9.366138,8.711
Coal-new,2014,3154.219766,85.55836,9.366138,8.671333
Coal-new,2015,3144.686802,85.55836,9.366138,8.631667
Coal-new,2016,3135.153836,85.55836,9.366138,8.592
Coal-new,2017,3125.620871,85.55836,9.366138,8.552333
Coal-new,2018,3116.087907,85.55836,9.366138,8.512667
Coal-new,2019,3106.554941,85.55836,9.366138,8.473
Coal-new,2020,3022.790054,87.105321,9.251998,8.473
Coal-new,2021,3211.730674,87.244128,9.511409,8.49
Coal-new,2022,3332.449198,90.0465,9.6813,8.49
Coal-new,2023,3271.0,89.0,9.37,8.49
Coal-new,2024,3255.0,88.0,9.33,8.464
Coal-new,2025,3239.0,88.0,9.3,8.438
Coal-new,2026,3223.0,88.0,9.26,8.413
Coal-new,2027,3207.0,87.0,9.22,8.387
Coal-new,2028,3191.0,87.0,9.18,8.361
Coal-new,2029,3175.0,86.0,9.14,8.336
Coal-new,2030,3159.0,86.0,9.11,8.31
Coal-new,2031,3143.0,86.0,9.07,8.284
Coal-new,2032,3127.0,85.0,9.03,8.259
Coal-new,2033,3111.0,85.0,8.99,8.233
Coal-new,2034,3096.0,85.0,8.95,8.207
Coal-new,2035,3080.0,84.0,8.92,8.182
Coal-new,2036,3061.0,84.0,8.9,8.182
Coal-new,2037,3042.0,83.0,8.88,8.182
Coal-new,2038,3023.0,83.0,8.85,8.182
Coal-new,2039,3004.0,82.0,8.83,8.182
Coal-new,2040,2985.0,82.0,8.81,8.182
Coal-new,2041,2966.0,82.0,8.79,8.182
Coal-new,2042,2947.0,81.0,8.77,8.182
Coal-new,2043,2928.0,81.0,8.75,8.182
Coal-new,2044,2909.0,80.0,8.73,8.182
Coal-new,2045,2890.0,80.0,8.71,8.182
