Turbine,Year,CF_mult,Overnight Cap Cost $/kW,Fixed O&M $/(kW-yr),Var O&M $/MWh,rsc_mult
fixed,2010,0.94619,4960.5678,94.63804,0.0,1.0
fixed,2011,0.94619,6712.01177,94.63804,0.0,1.0
fixed,2012,0.94619,6320.0882,94.63804,0.0,1.0
fixed,2013,0.94619,6428.91147,94.63804,0.0,1.0
fixed,2014,0.94619,6926.39015,94.63804,0.0,1.0
fixed,2015,0.94619,5763.30547,94.63804,0.0,1.0
fixed,2016,0.94619,5019.71298,94.63804,0.0,1.0
fixed,2017,0.94619,5891.13747,94.63804,0.0,1.0
fixed,2018,0.94619,5171.86387,94.63804,0.0,1.0
fixed,2019,0.94619,4712.74126,94.63804,0.0,1.0
fixed,2020,0.94619,3768.91115,94.63804,0.0,1.0
fixed,2021,0.94619,3225.60418,94.63804,0.0,1.0
fixed,2022,0.94615,4578.89683,94.638,0.0,1.0
fixed,2023,0.97388,2806.43152,88.63106,0.0,1.0
fixed,2024,0.99015,4226.56287,85.07784,0.0,1.0
fixed,2025,1.00161,4080.37511,82.59736,0.0,1.0
fixed,2026,1.01025,3669.98571,80.71109,0.0,1.0
fixed,2027,1.01708,3282.5747,79.19948,0.0,1.0
fixed,2028,1.02291,2910.28398,77.94447,0.0,1.0
fixed,2029,1.02793,2847.27511,76.87538,0.0,1.0
fixed,2030,1.03215,2792.55215,75.94691,0.0,1.0
fixed,2031,1.03777,2719.22465,74.70276,0.0,1.0
fixed,2032,1.0426,2657.32355,73.65247,0.0,1.0
fixed,2033,1.04682,2603.93313,72.74654,0.0,1.0
fixed,2034,1.05043,2557.11055,71.95212,0.0,1.0
fixed,2035,1.05385,2515.49959,71.24611,0.0,1.0
fixed,2036,1.05586,2487.67552,70.77404,0.0,1.0
fixed,2037,1.05787,2461.82813,70.33549,0.0,1.0
fixed,2038,1.05988,2437.71196,69.92627,0.0,1.0
fixed,2039,1.06148,2415.12344,69.54304,0.0,1.0
fixed,2040,1.06329,2393.89263,69.18278,0.0,1.0
fixed,2041,1.0647,2373.87547,68.84319,0.0,1.0
fixed,2042,1.06631,2354.94935,68.52198,0.0,1.0
fixed,2043,1.06771,2337.00878,68.21767,0.0,1.0
fixed,2044,1.06892,2319.96289,67.9284,0.0,1.0
fixed,2045,1.07032,2303.73234,67.65301,0.0,1.0
fixed,2046,1.07153,2288.24746,67.39025,0.0,1.0
fixed,2047,1.07253,2273.44725,67.13919,0.0,1.0
fixed,2048,1.07374,2259.27768,66.89877,0.0,1.0
fixed,2049,1.07474,2245.69062,66.66827,0.0,1.0
fixed,2050,1.07575,2232.64321,66.44686,0.0,1.0
fixed,2051,1.07575,2232.64321,66.44686,0.0,1.0
fixed,2052,1.07575,2232.64321,66.44686,0.0,1.0
fixed,2053,1.07575,2232.64321,66.44686,0.0,1.0
fixed,2054,1.07575,2232.64321,66.44686,0.0,1.0
fixed,2055,1.07575,2232.64321,66.44686,0.0,1.0
fixed,2056,1.07575,2232.64321,66.44686,0.0,1.0
fixed,2057,1.07575,2232.64321,66.44686,0.0,1.0
fixed,2058,1.07575,2232.64321,66.44686,0.0,1.0
fixed,2059,1.07575,2232.64321,66.44686,0.0,1.0
fixed,2060,1.07575,2232.64321,66.44686,0.0,1.0
floating,2010,0.94619,15735.30277,84.87221,0.0,1.0
floating,2011,0.94619,15735.30277,84.87221,0.0,1.0
floating,2012,0.94619,15735.30277,84.87221,0.0,1.0
floating,2013,0.94619,15735.30277,84.87221,0.0,1.0
floating,2014,0.94619,15735.30277,84.87221,0.0,1.0
floating,2015,0.94619,15735.30277,84.87221,0.0,1.0
floating,2016,0.94619,15735.30277,84.87221,0.0,1.0
floating,2017,0.94619,15735.30277,84.87221,0.0,1.0
floating,2018,0.94619,15735.30277,84.87221,0.0,1.0
floating,2019,0.94619,15735.30277,84.87221,0.0,1.0
floating,2020,0.94619,15735.30277,84.87221,0.0,1.0
floating,2021,0.94619,15735.30277,84.87221,0.0,1.0
floating,2022,0.94619,14812.88847,84.87221,0.0,1.0
floating,2023,0.97388,9970.28857,70.86842,0.0,1.0
floating,2024,0.99021,8848.64276,67.62486,0.0,1.0
floating,2025,1.00162,8235.08835,65.85059,0.0,1.0
floating,2026,1.01029,7406.08421,64.65864,0.0,1.0
floating,2027,1.01724,6684.68113,63.77425,0.0,1.0
floating,2028,1.02301,6028.3425,63.07801,0.0,1.0
floating,2029,1.02793,5831.16954,62.50782,0.0,1.0
floating,2030,1.03202,5665.9609,62.03719,0.0,1.0
floating,2031,1.03781,4975.89269,60.04169,0.0,1.0
floating,2032,1.04256,4587.59449,58.91881,0.0,1.0
floating,2033,1.0469,4323.57577,58.15532,0.0,1.0
floating,2034,1.05041,4126.35285,57.58501,0.0,1.0
floating,2035,1.05372,3970.41443,57.13403,0.0,1.0
floating,2036,1.05599,3630.18195,56.15024,0.0,1.0
floating,2037,1.05785,3406.61557,55.50372,0.0,1.0
floating,2038,1.05971,3242.73019,55.02981,0.0,1.0
floating,2039,1.06157,3114.69609,54.65952,0.0,1.0
floating,2040,1.06322,3010.39685,54.35791,0.0,1.0
floating,2041,1.06488,2922.87609,54.10481,0.0,1.0
floating,2042,1.06632,2847.79191,53.88767,0.0,1.0
floating,2043,1.06756,2782.26256,53.69815,0.0,1.0
floating,2044,1.06901,2724.28401,53.53053,0.0,1.0
floating,2045,1.07025,2672.40925,53.38054,0.0,1.0
floating,2046,1.07149,2625.56198,53.24502,0.0,1.0
floating,2047,1.07252,2582.92062,53.12173,0.0,1.0
floating,2048,1.07376,2543.84515,53.00873,0.0,1.0
floating,2049,1.07479,2507.82772,52.90459,0.0,1.0
floating,2050,1.07583,2474.45933,52.8081,0.0,1.0
floating,2051,1.07583,2474.45933,52.8081,0.0,1.0
floating,2052,1.07583,2474.45933,52.8081,0.0,1.0
floating,2053,1.07583,2474.45933,52.8081,0.0,1.0
floating,2054,1.07583,2474.45933,52.8081,0.0,1.0
floating,2055,1.07583,2474.45933,52.8081,0.0,1.0
floating,2056,1.07583,2474.45933,52.8081,0.0,1.0
floating,2057,1.07583,2474.45933,52.8081,0.0,1.0
floating,2058,1.07583,2474.45933,52.8081,0.0,1.0
floating,2059,1.07583,2474.45933,52.8081,0.0,1.0
floating,2060,1.07583,2474.45933,52.8081,0.0,1.0
