t,capcost,fom,vom,cf_improvement
2010,5464.875815,94.644776,0.0,0.742268
2011,5149.416091,94.644776,0.0,0.770388
2012,4397.879688,94.644776,0.0,0.843369
2013,4574.166005,84.5413,0.0,0.929913
2014,4397.879688,74.437824,0.0,0.899945
2015,3627.786831,64.334347,0.0,0.899897
2016,2802.024611,54.230871,0.0,0.909086
2017,2542.23425,46.45651,0.0,0.808328
2018,2143.270481,38.68215,0.0,0.826365
2019,1827.810756,30.907789,0.0,0.825565
2020,1632.967985,23.133429,0.0,0.843264
2021,1530.907486,23.133429,0.0,0.827592
2022,1475.238123,23.133429,0.0,0.801903
2023,1475.238123,23.133429,0.0,0.808297
2024,1493.794578,24.659673,0.0,0.950107
2025,1186.214177,23.4113,0.0,0.959988
2026,1071.866605,22.183637,0.0,0.969869
2027,957.519033,20.974892,0.0,0.979749
2028,843.171462,19.783477,0.0,0.98963
2029,728.82389,18.607974,0.0,0.99951
2030,614.476318,17.447117,0.0,1.009391
2031,607.888753,17.218884,0.0,1.019271
2032,601.301188,16.993751,0.0,1.029152
2033,594.713623,16.771602,0.0,1.039032
2034,588.126058,16.552326,0.0,1.048913
2035,581.538493,16.335818,0.0,1.058793
2036,574.950928,16.121979,0.0,1.064913
2037,568.363363,15.910714,0.0,1.071032
2038,561.775798,15.701931,0.0,1.077151
2039,555.188233,15.495544,0.0,1.08327
2040,548.600668,15.291472,0.0,1.08939
2041,539.944027,15.165644,0.0,1.095509
2042,531.287387,15.040716,0.0,1.101628
2043,522.630746,14.916669,0.0,1.107747
2044,513.974106,14.793484,0.0,1.113867
2045,505.317466,14.671142,0.0,1.119986
2046,496.660825,14.549627,0.0,1.126105
2047,488.004185,14.42892,0.0,1.132224
2048,479.347544,14.309004,0.0,1.138344
2049,470.690904,14.189864,0.0,1.144463
2050,462.034263,14.071483,0.0,1.150582
2051,455.312217,13.968099,0.0,1.150582
2052,448.590171,13.865444,0.0,1.150582
2053,441.868124,13.763503,0.0,1.150582
2054,435.146078,13.662262,0.0,1.150582
2055,428.424032,13.561706,0.0,1.150582
2056,421.701985,13.461823,0.0,1.150582
2057,414.979939,13.362598,0.0,1.150582
2058,408.257893,13.26402,0.0,1.150582
2059,401.535846,13.166075,0.0,1.150582
2060,394.8138,13.068752,0.0,1.150582
